"","Year","Month","Day","DayYear","T.max","T.min","T.mean","Rainfall"
"151",1970,5,31,151,17.9,11,14.45,0
"152",1970,6,1,152,20.5,9.9,15.2,0
"153",1970,6,2,153,18.5,10.4,14.45,0
"154",1970,6,3,154,20.5,6.2,13.35,0
"155",1970,6,4,155,19.5,9.4,14.45,0
"156",1970,6,5,156,23.1,9.6,16.35,0
"157",1970,6,6,157,24.6,10.7,17.65,0
"158",1970,6,7,158,25.3,14.7,20,0.6
"159",1970,6,8,159,27.6,13.5,20.55,1.8
"160",1970,6,9,160,25.5,14.2,19.85,34.5
"161",1970,6,10,161,21.9,15.6,18.75,0
"162",1970,6,11,162,25,14.2,19.6,1
"163",1970,6,12,163,26,12.6,19.3,0.7
"164",1970,6,13,164,24,12.3,18.15,0
"165",1970,6,14,165,24.5,10,17.25,0
"166",1970,6,15,166,26.3,12.5,19.4,3
"167",1970,6,16,167,18.5,15,16.75,6.5
"168",1970,6,17,168,25,13.5,19.25,0
"169",1970,6,18,169,25.5,15,20.25,0
"170",1970,6,19,170,23.5,11.8,17.65,0
"171",1970,6,20,171,25.5,15.5,20.5,0
"172",1970,6,21,172,27.5,15.5,21.5,0
"173",1970,6,22,173,26.8,15.6,21.2,0
"174",1970,6,23,174,26.8,15.5,21.15,0.1
"175",1970,6,24,175,20,15,17.5,2.4
"176",1970,6,25,176,23.3,15.7,19.5,0
"177",1970,6,26,177,17.2,13.3,15.25,0
"178",1970,6,27,178,28.5,15.1,21.8,5.8
"179",1970,6,28,179,19.4,14.4,16.9,15
"180",1970,6,29,180,15.3,9.8,12.55,5.5
"181",1970,6,30,181,15.5,3.1,9.3,1.5
"182",1970,7,1,182,17.5,10.9,14.2,1.6
"183",1970,7,2,183,15,10.9,12.95,2.1
"184",1970,7,3,184,15.6,11.1,13.35,1.4
"185",1970,7,4,185,17.2,10.5,13.85,0.6
"186",1970,7,5,186,20.5,13.2,16.85,0.4
"187",1970,7,6,187,24.3,14.1,19.2,0
"188",1970,7,7,188,28.1,12.9,20.5,0
"189",1970,7,8,189,25.5,15,20.25,4.4
"190",1970,7,9,190,23,14.2,18.6,13.1
"191",1970,7,10,191,20.5,10.6,15.55,0
"192",1970,7,11,192,21.7,10.9,16.3,0.2
"193",1970,7,12,193,24.7,11.5,18.1,0
"194",1970,7,13,194,26.7,10.5,18.6,0
"195",1970,7,14,195,21.2,10.2,15.7,5.9
"196",1970,7,15,196,15.7,10,12.85,8.7
"197",1970,7,16,197,14.4,10.6,12.5,0
"198",1970,7,17,198,16,10,13,0
"199",1970,7,18,199,20.4,7.5,13.95,0
"200",1970,7,19,200,19.8,13.2,16.5,0
"201",1970,7,20,201,16.5,13.9,15.2,7.4
"202",1970,7,21,202,18.8,5.6,12.2,1.3
"203",1970,7,22,203,20.6,8.8,14.7,0
"204",1970,7,23,204,24.5,9,16.75,0.1
"205",1970,7,24,205,25.2,13.5,19.35,19.8
"206",1970,7,25,206,17.1,13.6,15.35,3.9
"207",1970,7,26,207,18.1,10.4,14.25,0.5
"208",1970,7,27,208,22.5,15.5,19,0
"209",1970,7,28,209,27.7,13.5,20.6,0
"210",1970,7,29,210,22,14.1,18.05,14.7
"211",1970,7,30,211,24.1,11.4,17.75,0
"212",1970,7,31,212,26.6,13,19.8,0
"213",1970,8,1,213,27,15.5,21.25,0
"214",1970,8,2,214,27.5,14.9,21.2,0
"215",1970,8,3,215,27.5,16.1,21.8,0.6
"216",1970,8,4,216,27.9,15.6,21.75,0
"217",1970,8,5,217,28.5,16,22.25,0
"218",1970,8,6,218,30,15.8,22.9,0
"219",1970,8,7,219,27.3,18,22.65,2.2
"220",1970,8,8,220,21,13.5,17.25,3.5
"221",1970,8,9,221,21.9,11.8,16.85,0
"222",1970,8,10,222,17.6,12.3,14.95,1.1
"223",1970,8,11,223,20.8,14.7,17.75,0.3
"224",1970,8,12,224,22.3,8.5,15.4,0
"225",1970,8,13,225,27,10.2,18.6,0
"226",1970,8,14,226,22,15.6,18.8,0
"227",1970,8,15,227,23,10.5,16.75,0
"228",1970,8,16,228,21.7,13.2,17.45,10.9
"229",1970,8,17,229,17.5,9.6,13.55,0
"230",1970,8,18,230,20.1,6.3,13.2,0
"231",1970,8,19,231,22.8,11.4,17.1,1.9
"232",1970,8,20,232,20.5,13.1,16.8,0
"233",1970,8,21,233,20,8.4,14.2,0
"234",1970,8,22,234,18.3,7.5,12.9,0
"235",1970,8,23,235,20.2,10.3,15.25,0
"236",1970,8,24,236,22.5,12.5,17.5,0
"237",1970,8,25,237,23.2,9.7,16.45,0
"238",1970,8,26,238,24.7,11.3,18,0
"239",1970,8,27,239,25.2,12.2,18.7,0
"240",1970,8,28,240,25.8,11.5,18.65,0
"241",1970,8,29,241,23.6,13.7,18.65,0.1
"242",1970,8,30,242,22.2,15.7,18.95,0
"243",1970,8,31,243,24,14.6,19.3,0
"244",1970,9,1,244,19.7,14.6,17.15,0.7
"245",1970,9,2,245,20.5,7.5,14,0
"246",1970,9,3,246,19.5,13,16.25,2.8
"247",1970,9,4,247,18.5,11.8,15.15,0
"248",1970,9,5,248,21.6,15.2,18.4,0.1
"249",1970,9,6,249,21.4,14.6,18,0
"250",1970,9,7,250,24.2,10.4,17.3,0
"251",1970,9,8,251,22,15,18.5,1
"252",1970,9,9,252,24.5,15.6,20.05,0
"253",1970,9,10,253,19.3,12.8,16.05,6.4
"254",1970,9,11,254,17,11.4,14.2,3.9
"255",1970,9,12,255,17.1,10.5,13.8,3.2
"256",1970,9,13,256,16.6,10.8,13.7,4.2
"257",1970,9,14,257,18.5,12,15.25,0.2
"258",1970,9,15,258,21.9,11.5,16.7,6.5
"259",1970,9,16,259,14.5,11.3,12.9,1.4
"260",1970,9,17,260,18,5.2,11.6,0
"261",1970,9,18,261,22.7,7.2,14.95,0
"262",1970,9,19,262,24,8.9,16.45,0
"263",1970,9,20,263,24.3,8.1,16.2,0
"264",1970,9,21,264,23.1,12.1,17.6,0
"265",1970,9,22,265,20,9.2,14.6,0.2
"266",1970,9,23,266,19.5,5,12.25,0
"267",1970,9,24,267,18.5,5,11.75,0
"268",1970,9,25,268,22.5,4.6,13.55,0
"269",1970,9,26,269,21.5,8.8,15.15,0
"270",1970,9,27,270,22.5,9,15.75,0
"271",1970,9,28,271,22.7,7.6,15.15,0
"272",1970,9,29,272,20.2,4.6,12.4,0
"273",1970,9,30,273,16,10.2,13.1,16
"274",1970,10,1,274,14.3,10.4,12.35,4
"275",1970,10,2,275,16,8.5,12.25,6.8
"276",1970,10,3,276,16,7.1,11.55,7.2
"277",1970,10,4,277,10.1,7,8.55,3.9
"278",1970,10,5,278,13.2,11.1,12.15,0
"279",1970,10,6,279,18.4,10.6,14.5,4
"280",1970,10,7,280,12.8,10.5,11.65,27.6
"281",1970,10,8,281,14,10,12,0.6
"282",1970,10,9,282,13,10.8,11.9,0
"283",1970,10,10,283,20,10.9,15.45,0
"284",1970,10,11,284,23,12,17.5,0
"285",1970,10,12,285,14,9.9,11.95,0
"286",1970,10,13,286,13.3,10.9,12.1,0
"287",1970,10,14,287,16.5,12.7,14.6,0
"288",1970,10,15,288,14,4.3,9.15,0
"289",1970,10,16,289,15,2,8.5,0
"290",1970,10,17,290,15.5,3.8,9.65,0
"291",1970,10,18,291,13.6,1.2,7.4,0
"292",1970,10,19,292,9.8,5,7.4,2.6
"293",1970,10,20,293,8.5,4.3,6.4,0.2
"294",1970,10,21,294,10.5,4.4,7.45,0
"295",1970,10,22,295,8.8,4.3,6.55,2
"296",1970,10,23,296,9.1,5.4,7.25,0
"297",1970,10,24,297,8.3,-0.6,3.85,0.3
"298",1970,10,25,298,10.5,7.6,9.05,0
"299",1970,10,26,299,12,7.2,9.6,0.3
"300",1970,10,27,300,10.1,5,7.55,0
"301",1970,10,28,301,13,6.4,9.7,0
"302",1970,10,29,302,15.4,8,11.7,0
"303",1970,10,30,303,12.5,3.8,8.15,0
"304",1970,10,31,304,12.4,7.6,10,0
"305",1970,11,1,305,11.8,8.1,9.95,0.1
"306",1970,11,2,306,15,9.3,12.15,0.8
"307",1970,11,3,307,14.2,12.9,13.55,1.8
"308",1970,11,4,308,11.5,9.3,10.4,0
"309",1970,11,5,309,12.2,7.8,10,2.2
"310",1970,11,6,310,8.5,4.5,6.5,0
"311",1970,11,7,311,8.5,4.2,6.35,0
"312",1970,11,8,312,5.5,2.1,3.8,0
"313",1970,11,9,313,8.3,4.3,6.3,3.2
"314",1970,11,10,314,9.1,5.2,7.15,0.9
"315",1970,11,11,315,10.9,6.1,8.5,0.3
"316",1970,11,12,316,14.5,8.5,11.5,0.1
"317",1970,11,13,317,11.2,2.8,7,0.2
"318",1970,11,14,318,8.9,-0.6,4.15,0.6
"319",1970,11,15,319,6.9,2.8,4.85,4.3
"320",1970,11,16,320,5,2.5,3.75,1.1
"321",1970,11,17,321,9.5,1.5,5.5,3.5
"322",1970,11,18,322,12,9.5,10.75,13.2
"323",1970,11,19,323,13.5,4,8.75,5.4
"324",1970,11,20,324,10,3,6.5,2.7
"325",1970,11,21,325,10.5,4.5,7.5,0.4
"326",1970,11,22,326,7,2.2,4.6,0.9
"327",1970,11,23,327,8,-1.5,3.25,0
"328",1970,11,24,328,10.5,0.2,5.35,0
"329",1970,11,25,329,11.8,0.5,6.15,0
"330",1970,11,26,330,10.3,-0.4,4.95,0
"331",1970,11,27,331,8.5,-0.4,4.05,0
"332",1970,11,28,332,4.7,-2,1.35,0
"333",1970,11,29,333,14,-0.3,6.85,0.7
"334",1970,11,30,334,10.4,8.3,9.35,7.7
"335",1970,12,1,335,8.5,6.8,7.65,13.5
"336",1970,12,2,336,7,3.5,5.25,4.9
"337",1970,12,3,337,10.5,2,6.25,0
"338",1970,12,4,338,10,1.9,5.95,11.5
"339",1970,12,5,339,10,3.5,6.75,0
"340",1970,12,6,340,7.1,1.9,4.5,3.3
"341",1970,12,7,341,5.5,0.7,3.1,0
"342",1970,12,8,342,6.5,-2.5,2,0
"343",1970,12,9,343,4,-0.2,1.9,0
"344",1970,12,10,344,6,3.1,4.55,0
"345",1970,12,11,345,3,-1.7,0.65,0
"346",1970,12,12,346,2.1,-5.2,-1.55,0
"347",1970,12,13,347,4.4,-2.1,1.15,2.5
"348",1970,12,14,348,6.4,2.7,4.55,0
"349",1970,12,15,349,4.5,-0.6,1.95,0
"350",1970,12,16,350,5,2.6,3.8,0
"351",1970,12,17,351,3,-1.4,0.8,0.3
"352",1970,12,18,352,2.6,-0.2,1.2,0
"353",1970,12,19,353,4.2,2.4,3.3,0
"354",1970,12,20,354,5.2,4,4.6,0
"355",1970,12,21,355,5.2,-0.2,2.5,1.1
"356",1970,12,22,356,0.5,-3.8,-1.65,0.5
"357",1970,12,23,357,-3,-7,-5,0
"358",1970,12,24,358,-2.2,-8.2,-5.2,0
"359",1970,12,25,359,-2,-4.3,-3.15,0
"360",1970,12,26,360,-3.2,-5.2,-4.2,1
"361",1970,12,27,361,-2.5,-7.3,-4.9,0.8
"362",1970,12,28,362,-4.2,-5.6,-4.9,0.5
"363",1970,12,29,363,0.5,-4.2,-1.85,6.8
"364",1970,12,30,364,-3,-4,-3.5,1.3
"365",1970,12,31,365,-4,-12,-7.025,0
